"","subsection","response","estimator","estimate","cov","section","province"
"149","313Bs","BIOLIVE_TPA","dirmean",2.05903652,0.271220750578134,"313B","313"
"150","313Bs","BIOLIVE_TPA","dirps",2.17149334101218,0.208350965211823,"313B","313"
"151","313Ca","BIOLIVE_TPA","hb_unit",3.53855225343591,0.0563048651617266,"313C","313"
"152","313Ca","BIOLIVE_TPA","hb_area",3.27418093824135,0.341624715059623,"313C","313"
"153","313Ca","BIOLIVE_TPA","freq_unit",3.57741171147857,0.347093542479349,"313C","313"
"154","313Ca","BIOLIVE_TPA","freq_area",0.629631334783177,0.199277151340527,"313C","313"
"155","313Ca","BIOLIVE_TPA","dirmean",0.671700559386973,0.210097026857867,"313C","313"
"156","313Ca","BIOLIVE_TPA","dirps",0.625871345713475,0.199510410182103,"313C","313"
"157","313Cc","BIOLIVE_TPA","hb_unit",9.04140272823044,0.764460904275014,"313C","313"
"158","313Cc","BIOLIVE_TPA","hb_area",6.60249863247972,0.129773165342272,"313C","313"
"159","313Cc","BIOLIVE_TPA","freq_unit",9.05227895538805,0.12348570216001,"313C","313"
"160","313Cc","BIOLIVE_TPA","freq_area",3.6816975633289,0.118564900399947,"313C","313"
"161","313Cc","BIOLIVE_TPA","dirmean",3.5657076993865,0.123638797255638,"313C","313"
"162","313Cc","BIOLIVE_TPA","dirps",3.61564490646925,0.120015334953379,"313C","313"
"163","313Cd","BIOLIVE_TPA","hb_unit",15.9230419092242,0.0285689052310318,"313C","313"
"164","313Cd","BIOLIVE_TPA","hb_area",9.80757253636931,0.0728696771935334,"313C","313"
"165","313Cd","BIOLIVE_TPA","freq_unit",15.9226936112572,0.0570821443728603,"313C","313"
"166","313Cd","BIOLIVE_TPA","freq_area",9.61531068091911,0.0523629391985873,"313C","313"
"167","313Cd","BIOLIVE_TPA","dirmean",9.43272123333333,0.0572443476782532,"313C","313"
"168","313Cd","BIOLIVE_TPA","dirps",9.61128780375673,0.0532245952368936,"313C","313"
"169","313Da","BIOLIVE_TPA","hb_unit",1.18658792002469,0.012312298765177,"313D","313"
"170","313Da","BIOLIVE_TPA","hb_area",0.881420418577024,0.101381645233376,"313D","313"
"171","313Da","BIOLIVE_TPA","freq_unit",1.21866166667336,0.206481760026526,"313D","313"
"172","313Da","BIOLIVE_TPA","freq_area",0.597083464136121,0.243635466760952,"313D","313"
"173","313Da","BIOLIVE_TPA","dirmean",0.609320919642857,0.344104418423818,"313D","313"
"174","313Da","BIOLIVE_TPA","dirps",0.602684082348534,0.243969287266263,"313D","313"
"175","313Db","BIOLIVE_TPA","hb_unit",2.3913251625337,0.0445016733666171,"313D","313"
"176","313Db","BIOLIVE_TPA","hb_area",1.72449379999668,0.136281775684959,"313D","313"
"177","313Db","BIOLIVE_TPA","freq_unit",2.40121731553017,0.112838742689323,"313D","313"
"178","313Db","BIOLIVE_TPA","freq_area",0.638103186304462,0.0808984196328896,"313D","313"
"179","313Db","BIOLIVE_TPA","dirmean",0.886841831905782,0.10429052035571,"313D","313"
"180","313Db","BIOLIVE_TPA","dirps",0.638593587529379,0.0809247965966766,"313D","313"
"181","313Dc","BIOLIVE_TPA","hb_unit",12.6564728453774,0.354588645043981,"313D","313"
"182","313Dc","BIOLIVE_TPA","hb_area",10.5065545822951,0.118936411911542,"313D","313"
"183","313Dc","BIOLIVE_TPA","freq_unit",12.7419879089207,0.128428706966265,"313D","313"
"184","313Dc","BIOLIVE_TPA","freq_area",7.00654845455787,0.144662822076998,"313D","313"
"185","313Dc","BIOLIVE_TPA","dirmean",6.19109980487805,0.169169095272724,"313D","313"
